index,id,location
0,882,US - Corn Belt
1,1675,US - Northern Plains
2,314,US - Northern Plains
3,1767,US - Northern Plains
4,1887,US - Northern Plains
5,1544,US - Lake States
6,1936,US - Lake States
7,350,US - Northern Plains
8,1127,US - Corn Belt
9,391,US - Northern Plains
10,1650,US - Lake States
11,1831,US - Corn Belt
12,1302,US - Lake States
13,815,US - Corn Belt
14,919,US - Lake States
15,707,US - Corn Belt
16,1666,US - Northeast
17,789,US - Corn Belt
18,83,US - Lake States
19,1967,US - Corn Belt
20,1671,US - Pacific
21,1280,US - Lake States
22,1714,US - Lake States
23,721,US - Corn Belt
24,476,US - Lake States
25,1115,US - Lake States
26,201,US - Corn Belt
27,1141,US - Corn Belt
28,252,US - Corn Belt
29,753,US - Corn Belt
30,1788,US - Corn Belt
31,1462,US - Corn Belt
32,164,US - Corn Belt
33,732,US - Lake States
34,1571,US - Lake States
35,1770,US - Corn Belt
36,1682,US - Lake States
37,801,US - Northeast
38,744,US - Lake States
39,936,Canada
40,1354,US - Corn Belt
41,1019,US - Pacific
42,112,US - Northern Plains
43,623,US - Appalachian
44,614,US - Corn Belt
45,1210,US - Corn Belt
46,1918,US - Corn Belt
47,199,US - Corn Belt
48,1686,US - Corn Belt
49,309,US - Corn Belt
50,1796,US - Corn Belt
51,1012,US - Corn Belt
52,493,US - Northern Plains
53,1618,US - Corn Belt
54,929,US - Corn Belt
55,1316,US - Corn Belt
56,1382,US - Corn Belt
57,1626,US - Corn Belt
58,1139,US - Corn Belt
59,1953,US - Corn Belt
60,515,US - Corn Belt
61,1676,US - Corn Belt
62,859,US - Corn Belt
63,383,US - Corn Belt
64,1249,US - Corn Belt
65,1692,US - Corn Belt
66,1366,US - Corn Belt
67,86,US - Corn Belt
68,1757,US - Corn Belt
69,269,US - Corn Belt
70,1695,US - Corn Belt
71,1216,US - Corn Belt
72,367,US - Corn Belt
73,407,US - Northern Plains
74,635,US - Appalachian
75,166,US - Corn Belt
76,730,US - Corn Belt
77,838,US - Corn Belt
78,1938,US - Corn Belt
79,1928,US - Corn Belt
80,1327,US - Corn Belt
81,1833,US - Lake States
82,309,US - Corn Belt
83,198,US - Corn Belt
84,1324,US - Corn Belt
85,1222,US - Northern Plains
86,1443,US - Northern Plains
87,1064,US - Corn Belt
88,201,US - Northern Plains
89,1410,US - Corn Belt
90,1869,US - Corn Belt
91,216,US - Corn Belt
92,873,US - Northern Plains
93,1950,US - Northeast
94,53,US - Corn Belt
95,470,US - Corn Belt
96,1940,US - Corn Belt
97,1025,US - Corn Belt
98,1551,US - Corn Belt
99,1400,US - Northern Plains
100,1302,US - Northern Plains
101,177,US - Northern Plains
102,1026,US - Corn Belt
103,949,US - Lake States
104,1585,US - Northern Plains
105,1922,US - Corn Belt
106,483,US - Lake States
107,402,US - Lake States
108,29,US - Northern Plains
109,330,US - Corn Belt
110,1372,US - Corn Belt
111,1636,US - Corn Belt
112,1835,US - Corn Belt
113,1578,US - Corn Belt
114,1700,US - Northern Plains
115,1902,US - Northern Plains
116,1804,US - Northeast
117,1989,US - Lake States
118,245,US - Corn Belt
119,40,US - Corn Belt
120,1138,US - Corn Belt
121,607,US - Lake States
122,448,US - Corn Belt
123,1162,US - Corn Belt
124,416,US - Northern Plains
125,1121,US - Lake States
126,410,US - Corn Belt
127,1355,US - Northeast
128,703,US - Northeast
129,777,US - Northeast
130,1375,US - Lake States
131,1822,US - Northeast
132,243,US - Corn Belt
133,1286,US - Corn Belt
134,1732,US - Corn Belt
135,636,US - Northeast
136,657,US - Corn Belt
137,318,US - Corn Belt
138,1599,US - Corn Belt
139,976,US - Lake States
140,184,US - Northern Plains
141,1007,US - Corn Belt
142,290,US - Corn Belt
143,1078,US - Lake States
144,844,US - Corn Belt
145,914,US - Pacific
146,474,US - Corn Belt
147,1271,US - Corn Belt
148,29,US - Corn Belt
149,1200,US - Lake States
150,235,US - Corn Belt
151,1741,US - Corn Belt
152,1398,US - Pacific
153,74,US - Corn Belt
154,958,US - Corn Belt
155,1662,US - Lake States
156,1332,US - Corn Belt
157,165,US - Corn Belt
158,11,US - Southern Plains
159,956,US - Corn Belt
160,1668,US - Corn Belt
161,578,US - Northern Plains
162,280,US - Lake States
163,1270,US - Appalachian
164,1268,US - Appalachian
165,1492,US - Corn Belt
166,1546,US - Pacific
167,1921,US - Pacific
168,1947,US - Lake States
169,1791,US - Northeast
170,1459,US - Southeast
171,1331,US - Corn Belt
172,862,US - Northeast
173,873,US - Corn Belt
174,750,US - Northern Plains
175,778,US - Corn Belt
176,775,US - Corn Belt
177,1907,US - Corn Belt
178,318,US - Corn Belt
179,6,US - Corn Belt
180,431,US - Corn Belt
181,804,US - Corn Belt
182,1827,US - Pacific
183,1240,US - Northern Plains
184,1889,US - Northeast
185,1880,US - Corn Belt
186,606,US - Corn Belt
187,1865,US - Northern Plains
188,1048,US - Northern Plains
189,799,Canada
190,1819,US - Northeast
191,483,US - Lake States
192,327,Canada
193,1809,US - Corn Belt
194,1588,US - Northern Plains
195,1430,Canada
196,1019,US - Corn Belt
197,112,US - Corn Belt
198,408,US - Corn Belt
199,885,US - Corn Belt
200,1756,US - Corn Belt
201,1615,US - Northern Plains
202,396,US - Corn Belt
203,1471,US - Northern Plains
204,889,US - Northern Plains
205,1819,US - Lake States
206,638,US - Corn Belt
207,350,US - Northern Plains
208,1080,US - Lake States
209,623,US - Lake States
210,1180,US - Lake States
211,654,US - Corn Belt
212,937,US - Lake States
213,1342,US - Corn Belt
214,505,US - Northeast
215,1502,US - Corn Belt
216,677,US - Mountain
217,1596,US - Northern Plains
218,1765,US - Lake States
219,1999,US - Corn Belt
220,1829,US - Northern Plains
221,780,US - Corn Belt
222,968,US - Corn Belt
223,1935,US - Corn Belt
224,147,US - Corn Belt
225,1018,US - Corn Belt
226,1336,US - Corn Belt
227,170,US - Corn Belt
228,1886,US - Corn Belt
229,129,US - Corn Belt
230,1344,US - Northern Plains
231,1617,US - Northern Plains
232,1996,US - Corn Belt
233,1658,US - Corn Belt
234,1006,US - Lake States
235,997,US - Corn Belt
236,943,US - Corn Belt
237,1900,US - Appalachian
238,1746,US - Northern Plains
239,1498,US - Northern Plains
240,1722,US - Northern Plains
241,182,US - Corn Belt
242,259,US - Northern Plains
243,107,Canada
244,681,US - Northeast
245,1944,US - Appalachian
246,588,US - Corn Belt
247,1680,US - Appalachian
248,1620,US - Corn Belt
249,338,US - Corn Belt
250,1733,US - Corn Belt
251,776,US - Corn Belt
252,136,US - Southeast
253,1627,US - Delta States
254,950,US - Corn Belt
255,1116,US - Lake States
256,53,US - Northern Plains
257,1184,US - Lake States
258,213,US - Lake States
259,272,US - Northeast
260,376,US - Lake States
261,1586,US - Delta States
262,1821,US - Corn Belt
263,1235,US - Corn Belt
264,1085,US - Lake States
265,153,US - Lake States
266,1139,US - Corn Belt
267,234,US - Lake States
268,135,US - Lake States
269,1269,US - Corn Belt
270,149,US - Lake States
271,1457,US - Northern Plains
272,1122,US - Southeast
273,1492,US - Corn Belt
274,1746,US - Corn Belt
275,991,US - Northern Plains
276,1563,US - Northeast
277,474,US - Northeast
278,1300,US - Lake States
279,881,US - Northeast
280,1632,US - Lake States
281,139,US - Corn Belt
282,1358,US - Corn Belt
283,1020,US - Pacific
284,888,US - Corn Belt
285,379,US - Corn Belt
286,818,US - Corn Belt
287,1347,US - Corn Belt
288,203,US - Lake States
289,192,US - Northern Plains
290,1240,US - Lake States
291,1394,US - Lake States
292,1021,US - Lake States
293,269,US - Corn Belt
294,1048,US - Corn Belt
295,1801,US - Corn Belt
