index,id,location
0, 882, US - C
1, 1675, US - N
2, 314, US - N
3, 1767, US - N
4, 1887, US - N
5, 1544, US - L
6, 1936, US - L
7, 350, US - N
8, 1127, US - C
9, 391, US - N
10, 1650, US - L
11, 1831, US - C
12, 1302, US - L
13, 815, US - C
14, 919, US - L
15, 707, US - C
16, 1666, US - N
17, 789, US - C
18, 83, US - L
19, 1967, US - C
20, 1671, US - P
21, 1280, US - L
22, 1714, US - L
23, 721, US - C
24, 476, US - L
25, 1115, US - L
26, 201, US - C
27, 1141, US - C
28, 252, US - C
29, 753, US - C
30, 1788, US - C
31, 1462, US - C
32, 164, US - C
33, 732, US - L
34, 1571, US - L
35, 1770, US - C
36, 1682, US - L
37, 801, US - N
38, 744, US - L
39, 936, Canada
40, 1354, US - C
41, 1019, US - P
42, 112, US - N
43, 623, US - A
44, 614, US - C
45, 1210, US - C
46, 1918, US - C
47, 199, US - C
48, 1686, US - C
49, 309, US - C
50, 1796, US - C
51, 1012, US - C
52, 493, US - N
53, 1618, US - C
54, 929, US - C
55, 1316, US - C
56, 1382, US - C
57, 1626, US - C
58, 1139, US - C
59, 1953, US - C
60, 515, US - C
61, 1676, US - C
62, 859, US - C
63, 383, US - C
64, 1249, US - C
65, 1692, US - C
66, 1366, US - C
67, 86, US - C
68, 1757, US - C
69, 269, US - C
70, 1695, US - C
71, 1216, US - C
72, 367, US - C
73, 407, US - N
74, 635, US - A
75, 166, US - C
76, 730, US - C
77, 838, US - C
78, 1938, US - C
79, 1928, US - C
80, 1327, US - C
81, 1833, US - L
82, 309, US - C
83, 198, US - C
84, 1324, US - C
85, 1222, US - N
86, 1443, US - N
87, 1064, US - C
88, 201, US - N
89, 1410, US - C
90, 1869, US - C
91, 216, US - C
92, 873, US - N
93, 1950, US - N
94, 53, US - C
95, 470, US - C
96, 1940, US - C
97, 1025, US - C
98, 1551, US - C
99, 1400, US - N
100, 1302, US - N
101, 177, US - N
102, 1026, US - C
103, 949, US - L
104, 1585, US - N
105, 1922, US - C
106, 483, US - L
107, 402, US - L
108, 29, US - N
109, 330, US - C
110, 1372, US - C
111, 1636, US - C
112, 1835, US - C
113, 1578, US - C
114, 1700, US - N
115, 1902, US - N
116, 1804, US - N
117, 1989, US - L
118, 245, US - C
119, 40, US - C
120, 1138, US - C
121, 607, US - L
122, 448, US - C
123, 1162, US - C
124, 416, US - N
125, 1121, US - L
126, 410, US - C
127, 1355, US - N
128, 703, US - N
129, 777, US - N
130, 1375, US - L
131, 1822, US - N
132, 243, US - C
133, 1286, US - C
134, 1732, US - C
135, 636, US - N
136, 657, US - C
137, 318, US - C
138, 1599, US - C
139, 976, US - L
140, 184, US - N
141, 1007, US - C
142, 290, US - C
143, 1078, US - L
144, 844, US - C
145, 914, US - P
146, 474, US - C
147, 1271, US - C
148, 29, US - C
149, 1200, US - L
150, 235, US - C
151, 1741, US - C
152, 1398, US - P
153, 74, US - C
154, 958, US - C
155, 1662, US - L
156, 1332, US - C
157, 165, US - C
158, 11, US - S
159, 956, US - C
160, 1668, US - C
161, 578, US - N
162, 280, US - L
163, 1270, US - A
164, 1268, US - A
165, 1492, US - C
166, 1546, US - P
167, 1921, US - P
168, 1947, US - L
169, 1791, US - N
170, 1459, US - S
171, 1331, US - C
172, 862, US - N
173, 873, US - C
174, 750, US - N
175, 778, US - C
176, 775, US - C
177, 1907, US - C
178, 318, US - C
179, 6, US - C
180, 431, US - C
181, 804, US - C
182, 1827, US - P
183, 1240, US - N
184, 1889, US - N
185, 1880, US - C
186, 606, US - C
187, 1865, US - N
188, 1048, US - N
189, 799, Canada
190, 1819, US - N
191, 483, US - L
192, 327, Canada
193, 1809, US - C
194, 1588, US - N
195, 1430, Canada
196, 1019, US - C
197, 112, US - C
198, 408, US - C
199, 885, US - C
200, 1756, US - C
201, 1615, US - N
202, 396, US - C
203, 1471, US - N
204, 889, US - N
205, 1819, US - L
206, 638, US - C
207, 350, US - N
208, 1080, US - L
209, 623, US - L
210, 1180, US - L
211, 654, US - C
212, 937, US - L
213, 1342, US - C
214, 505, US - N
215, 1502, US - C
216, 677, US - M
217, 1596, US - N
218, 1765, US - L
219, 1999, US - C
220, 1829, US - N
221, 780, US - C
222, 968, US - C
223, 1935, US - C
224, 147, US - C
225, 1018, US - C
226, 1336, US - C
227, 170, US - C
228, 1886, US - C
229, 129, US - C
230, 1344, US - N
231, 1617, US - N
232, 1996, US - C
233, 1658, US - C
234, 1006, US - L
235, 997, US - C
236, 943, US - C
237, 1900, US - A
238, 1746, US - N
239, 1498, US - N
240, 1722, US - N
241, 182, US - C
242, 259, US - N
243, 107, Canada
244, 681, US - N
245, 1944, US - A
246, 588, US - C
247, 1680, US - A
248, 1620, US - C
249, 338, US - C
250, 1733, US - C
251, 776, US - C
252, 136, US - S
253, 1627, US - D
254, 950, US - C
255, 1116, US - L
256, 53, US - N
257, 1184, US - L
258, 213, US - L
259, 272, US - N
260, 376, US - L
261, 1586, US - D
262, 1821, US - C
263, 1235, US - C
264, 1085, US - L
265, 153, US - L
266, 1139, US - C
267, 234, US - L
268, 135, US - L
269, 1269, US - C
270, 149, US - L
271, 1457, US - N
272, 1122, US - S
273, 1492, US - C
274, 1746, US - C
275, 991, US - N
276, 1563, US - N
277, 474, US - N
278, 1300, US - L
279, 881, US - N
280, 1632, US - L
281, 139, US - C
282, 1358, US - C
283, 1020, US - P
284, 888, US - C
285, 379, US - C
286, 818, US - C
287, 1347, US - C
288, 203, US - L
289, 192, US - N
290, 1240, US - L
291, 1394, US - L
292, 1021, US - L
293, 269, US - C
294, 1048, US - C
295, 1801, US - C
296, 665, US - D
297, 956, US - L
298, 1290, US - L
299, 1934, US - D
300, 159, US - L
301, 69, US - N
302, 908, US - S
303, 900, US - C
304, 1632, US - N
305, 1844, US - N
306, 1095, US - L
307, 329, US - N
308, 1867, US - C
309, 1, US - C
310, 528, US - C
311, 1053, US - C
312, 1446, US - N
313, 1925, US - C
314, 701, US - S
315, 1388, US - C
316, 714, US - A
317, 442, US - A
318, 31, US - M
319, 511, US - L
320, 1102, US - N
321, 603, US - N
322, 634, US - C
323, 696, US - C
324, 81, US - L
325, 1667, US - C
326, 1275, US - C
327, 420, US - M
328, 206, US - N
329, 923, US - C
330, 1675, US - P
331, 342, US - P
332, 1952, US - N
333, 954, US - D
334, 1884, US - P
335, 1248, US - A
336, 683, US - N
337, 230, US - N
338, 1113, US - C
339, 1599, US - N
340, 1766, US - N
341, 1286, US - C
342, 1120, US - N
343, 369, US - N
344, 1055, US - C
345, 1186, US - C
346, 1403, US - A
347, 815, US - C
348, 133, US - C
349, 460, US - N
350, 526, US - N
351, 918, US - D
352, 1268, US - N
353, 853, US - M
354, 1900, US - N
355, 315, US - C
356, 647, US - L
357, 1796, US - C
